PCRINCONCLUSIVE,POSITIVITYRATE,POSITIVITYRATE
0,4.310344828,4.310344828
0,3.066037736,3.066037736
0,3.915662651,3.915662651
0,5.474452555,5.474452555
0,6.726457399,6.726457399
1,2.066115702,2.066115702
0,3.225806452,3.225806452
1,4.775280899,4.775280899
0,3.79403794,3.79403794
0,4.166666667,4.166666667
1,5.147058824,5.147058824
0,1.639344262,1.639344262
0,3.255813953,3.255813953
0,2.558139535,2.558139535
0,2.01793722,2.01793722
0,2.110817942,2.110817942
0,4.304635762,4.304635762
0,6.451612903,6.451612903
1,3.405572755,3.405572755
0,4.028436019,4.028436019
0,4.481132075,4.481132075
0,4.709141274,4.709141274
1,4.45026178,4.45026178
0,7.365439093,7.365439093
0,10.03717472,10.03717472
0,9.385113269,9.385113269
0,4.073319756,4.073319756
0,7.124010554,7.124010554
0,6.140350877,6.140350877
1,6.937799043,6.937799043
1,7.804878049,7.804878049
0,7.662835249,7.662835249
0,8.333333333,8.333333333
0,8.793969849,8.793969849
0,8.904109589,8.904109589
0,7.615230461,7.615230461
1,11.80555556,11.80555556
0,8.904109589,8.904109589
0,11.11111111,11.11111111
0,11.64179104,11.64179104
0,11.27272727,11.27272727
0,9.55165692,9.55165692
0,10.34482759,10.34482759
0,15.07246377,15.07246377
0,6.896551724,6.896551724
0,0,0
